latitude;longitude;bright_ti4;scan;track;type
-289.630;10.332.413;310.04.00;00.39;00.36;-0,034215434
-290.770;10.337.780;309.01.00;00.39;00.36;-0,035032289
-291.909;10.343.147;304.06.00;00.38;00.36;-0,035849144
-293.048;10.348.514;317.04.00;00.38;00.36;-0,036665999
-294.188;10.353.881;305.05.00;00.38;00.36;-0,037482854
-295.327;10.359.248;304.09.00;00.38;00.36;-0,038299709
-296.466;10.364.615;306.04.00;00.38;00.36;-0,039116564
-297.606;10.369.982;345;00.38;00.36;-0,039933419
-298.745;10.375.348;316.05.00;00.38;00.36;-0,040750274
-299.884;10.380.715;324.05.00;00.38;00.36;-0,041567129
-301.024;10.386.082;320.07.00;00.47;00.39;-0,042383983
-302.163;10.391.449;351.01.00;00.45;00.39;-0,043200838
-303.302;10.396.816;312.01.00;00.45;00.39;-0,044017693
-304.442;10.402.183;303.04.00;00.45;00.39;-0,044834548
-305.581;10.407.550;306.02.00;00.45;00.39;-0,045651403
-306.720;10.412.916;329.02.00;00.45;00.39;-0,046468258
-307.860;10.418.283;318.06.00;00.38;00.36;-0,047285113
-308.999;10.423.650;304.02.00;00.38;00.36;-0,048101968
-310.138;10.429.017;319.08.00;00.45;00.39;-0,048918823
-311.278;10.434.384;305.02.00;00.53;00.42;-0,049735678
-312.417;10.439.751;312.08.00;00.45;00.39;-0,050552533
-313.556;10.445.118;313.01.00;00.46;00.39;-0,051369388
-314.696;10.450.485;320.08.00;00.53;00.42;-0,052186243
-315.835;10.455.851;324.07.00;00.53;00.42;-0,053003098
-316.974;10.461.218;330.01.00;00.53;00.42;-0,053819953
-318.114;10.466.585;342.07.00;00.45;00.39;-0,054636808
-319.253;10.471.952;316.03.00;00.45;00.39;-0,055453663
-320.392;10.477.319;310.09.00;00.45;00.39;-0,056270518
-321.532;10.482.686;305.06.00;00.45;00.39;-0,057087373
-322.671;10.488.053;314.04.00;00.45;00.39;-0,057904228
-323.810;10.493.420;304.08.00;00.45;00.39;-0,058721083
-324.950;10.498.786;320.09.00;00.45;00.39;-0,059537938
-326.089;10.504.153;323.01.00;00.45;00.39;-0,060354792
-327.228;10.509.520;346.09.00;00.45;00.39;-0,061171647
-328.368;10.514.887;307.01.00;00.45;00.39;-0,061988502
-329.507;10.520.254;346.06.00;00.45;00.39;-0,062805357
-330.646;10.525.621;351.07.00;00.45;00.39;-0,063622212
-331.786;10.530.988;322.01.00;00.45;00.39;-0,064439067
-332.925;10.536.355;341.06.00;00.45;00.39;-0,065255922
-334.064;10.541.721;314;00.45;00.39;-0,066072777
-335.204;10.547.088;336.06.00;00.45;00.39;-0,066889632
-336.343;10.552.455;318.06.00;00.46;00.39;-0,067706487
-337.482;10.557.822;350.08.00;00.46;00.39;-0,068523342
-338.622;10.563.189;305.07.00;00.45;00.39;-0,069340197
-339.761;10.568.556;328.01.00;00.45;00.39;-0,070157052
-340.900;10.573.923;301.09.00;00.45;00.39;-0,070973907
-342.040;10.579.289;305.08.00;00.45;00.39;-0,071790762
-343.179;10.584.656;314.07.00;00.45;00.39;-0,072607617
-344.318;10.590.023;308.09.00;00.52;00.41;-0,073424472
-345.458;10.595.390;303.05.00;00.52;00.41;-0,074241327
-346.597;10.600.757;316.04.00;00.52;00.41;-0,075058182
-347.736;10.606.124;323.06.00;00.52;00.41;-0,075875037
-348.876;10.611.491;310.09.00;00.52;00.41;-0,076691892
-350.015;10.616.858;311.09.00;00.45;00.39;-0,077508747
-351.154;10.622.224;307.09.00;00.52;00.41;-0,078325601
-352.294;10.627.591;303;00.52;00.41;-0,079142456
-353.433;10.632.958;304.08.00;00.52;00.41;-0,079959311
-354.572;10.638.325;326.09.00;00.39;00.36;-0,080776166
-355.712;10.643.692;303.05.00;00.45;00.39;-0,081593021
-356.851;10.649.059;304.03.00;00.05;00.41;-0,082409876
-357.990;10.654.426;302.08.00;00.45;00.39;-0,083226731
-359.130;10.659.793;310.04.00;00.45;00.39;-0,084043586
-360.269;10.665.159;309.05.00;00.45;00.39;-0,084860441
-361.408;10.670.526;303.07.00;00.05;00.41;-0,085677296
-362.548;10.675.893;333;00.45;00.39;-0,086494151
-363.687;10.681.260;321.05.00;00.45;00.39;-0,087311006
-364.826;10.686.627;325.04.00;00.45;00.39;-0,088127861
-365.966;10.691.994;305.08.00;00.45;00.39;-0,088944716
-367.105;10.697.361;303.09.00;00.39;00.36;-0,089761571
-368.244;10.702.727;320.02.00;00.39;00.36;-0,090578426
-369.384;10.708.094;305.08.00;00.39;00.36;-0,091395281
-370.523;10.713.461;313.03.00;00.39;00.36;-0,092212136
